,ECR_RATIO,MVL SUM,MVL ABS,RMS,DB,ZCR,MFCC,FARBWECHSEL RATIO,SIFT RATIO,Tag,Zeit,LABEL
1,0.3184553660982949,-5.4691277,6.6635704,0.0201422162541581,-40.50956403433729,57,140.90550879827413,0.0058912536625572,0.7575757575757576,1,02:09,Programm
2,0.5100783874580067,58.168045,84.106766,0.0195623645741142,-33.33263960179791,58,157.04407083399838,0.0128112984498171,0.8695652173913043,1,02:09,Programm
3,0.4846867097499298,93.582726,122.97176,0.0267036957914975,-35.56488076873924,21,140.20663317914725,0.015742802999301,0.7751937984496124,1,02:09,Programm
4,0.5106712032168265,-38.132706,325.25452,0.0159916989654225,-33.3943732635008,56,163.32223428442276,0.0371577262261548,0.8264462809917356,1,02:09,Programm
5,0.5586979722518677,-9.752632,9.774361,0.0148625141148106,-35.92210788315945,49,146.29202531715583,0.0193592981712227,0.423728813559322,1,02:09,Programm
6,0.5618996798292423,-115.59818,116.2275,0.0082399975585192,-38.26753379627473,33,139.49005864656567,0.0399811545001637,0.5102040816326531,1,02:09,Programm
8,0.14295168762409,0.6856079,1.3994446,0.020935697500534,-40.97138121575178,44,135.89869300145418,0.0156797278115167,0.6711409395973155,1,02:10,Programm
9,0.2527503526093089,-5.6059465,26.202152,0.010681478316599,-33.58225130869894,88,157.36268716381016,0.0136648435029525,0.5524861878453039,1,02:10,Programm
10,0.6453488372093024,-84.59323,1155.9551,0.0381786553544724,-38.53209911094984,43,135.37187628936377,0.0398571920043135,0.5291005291005291,1,02:10,Programm
11,0.7413728432108027,956.1639,1665.3711,0.0189825128940702,-32.21442271726036,68,158.52367794694575,0.0381664973419644,0.5376344086021505,1,02:10,Programm
13,0.3795884315906563,81.527954,82.04639,0.0078737754448072,-39.353239515077526,51,139.29421113226869,0.0147773696294911,0.7936507936507936,1,02:10,Programm
14,0.666721044045677,-1698.6884,2582.73,0.0115359965819269,-32.19281601547661,292,160.80081630353405,0.0281094330697248,0.1501501501501501,1,02:10,Werbung
15,0.4201101056761374,-276.74167,278.9404,0.0187078463087862,-34.83300472321011,72,150.37951408549853,0.0278783763009919,0.1225490196078431,1,02:10,Werbung
16,0.3689172941846484,1.1003113,8.834564,0.0155339213232825,-34.55952413246568,221,151.92863597505814,0.0269167346086383,0.1127395715896279,1,02:10,Werbung
17,0.345714851223857,-2.0941467,11.439972,0.0120548112430188,-36.05573959028975,20,143.41533057361497,0.028212821678388,0.1109877913429522,1,02:10,Werbung
18,0.7566513114599981,-50.823837,2538.826,0.0281685842463454,-38.37679171030477,1,122.34999457384284,0.0635009613684137,0.1142857142857142,1,02:10,Werbung
19,0.3638243865751622,86.10038,399.77347,0.0274971770378734,-31.00469960231574,63,153.49473251866723,0.0325316290972447,0.1314060446780552,1,02:10,Werbung
20,0.27045149754135,92.18971,145.46935,0.0133671071504867,-31.21423780325272,68,157.04250531320378,0.0173713512964466,0.1156069364161849,1,02:10,Werbung
21,0.2092534644613321,-4.1606445,9.620758,0.0111392559587389,-37.61918821961935,51,142.64290978813406,0.0146202031922852,0.1108647450110864,1,02:10,Werbung
22,0.1573715171690455,-2.4613953,11.383759,0.0254524369029816,-39.06287633370448,21,137.04663358741726,0.0116750396442302,0.1114827201783723,1,02:10,Werbung
23,0.1574211502782931,-2.7360535,12.145355,0.0127872554704428,-31.885412610079204,10,141.21729226697636,0.0106310115480636,0.1108647450110864,1,02:10,Werbung
24,0.1624445851804939,0.7133789,13.448242,0.0141911069063386,-40.28754837847895,27,137.1834020568971,0.0104128704354831,0.106951871657754,1,02:10,Werbung
25,0.1403524627202892,0.4448352,6.643169,0.0234382152775658,-36.9596745650349,12,132.07517123327477,0.0084178393731719,0.1091703056768559,1,02:10,Werbung
26,0.1729110452514707,0.015034676,6.322713,0.0420239875484481,-32.61282634385436,9,130.30013108684446,0.0082991697499893,0.1117318435754189,1,02:10,Werbung
27,0.8765018643833724,-514.66516,739.8176,0.0306405835139011,-28.696203884397864,66,173.7311025801216,0.0622348304463905,0.111358574610245,1,02:10,Werbung
28,0.2234499878905304,24.559807,32.64702,0.0387585070345164,-30.274059366653965,89,170.6624749521263,0.0064150856466491,0.0553097345132743,1,02:10,Werbung
30,0.2961066726679419,219.91626,251.45203,0.0226447340311899,-29.87667930226913,61,168.3701820053336,0.0190576466715774,0.086281276962899,1,02:10,Werbung
31,0.8846859903381642,-612.1991,2631.7422,0.032013916440321,-32.90065551725344,121,165.38233234294563,0.0441122755606978,0.0914076782449725,1,02:10,Werbung
32,0.2085329274298249,0.5046158,18.15524,0.0278939176610614,-30.81849976808741,61,165.8581462770583,0.0076839932313751,0.0614628149969268,1,02:10,Werbung
33,0.9217441912521824,-1207.546,4543.832,0.0310373241370891,-31.13745595839463,81,166.08239298552814,0.0435193789815342,0.0619578686493184,1,02:10,Werbung
34,0.6772879383093263,-56.55575,484.9245,0.0184331797235023,-30.162314564379088,58,161.77649698177956,0.0241999149028432,0.2890173410404624,1,02:10,Werbung
35,0.6278190018914593,-29.975464,46.013306,0.0416272469252601,-34.308146437951294,49,153.8002685058364,0.0210461783077421,0.2392344497607655,1,02:10,Werbung
36,0.9271686825334894,-808.275,2350.2354,0.0377513962218085,-27.61244621642477,52,168.70686420693494,0.0470631235001516,0.2808988764044944,1,02:10,Werbung
37,0.6870854467420991,79.5072,257.35852,0.0378124332407605,-28.461339630251565,75,171.97564226640785,0.0259644082066461,0.3584229390681003,1,02:10,Werbung
38,0.6049275362318841,169.30553,241.82567,0.0567339091158787,-28.44730749531271,60,167.14754045616155,0.0233009326243193,0.3636363636363636,1,02:10,Werbung
39,0.7560386473429952,971.6769,2833.8916,0.0310373241370891,-24.92314582739601,60,176.0787547940885,0.0354836809077832,0.3424657534246575,1,02:10,Werbung
41,0.377133734495886,330.2487,855.74475,0.0563982055116428,-27.766637655537828,291,187.98359633505277,0.0299758463411231,0.0482625482625482,1,02:10,Werbung
42,0.1953518359327029,150.3951,485.32443,0.0769371623889889,-24.97469428515222,197,189.8045614643,0.0187646926512383,0.0450653447498873,1,02:10,Werbung
43,0.1619105939987752,253.72945,340.5408,0.0351878414258247,-22.55737803449021,127,190.9956548328851,0.0110074066470601,0.0453720508166969,1,02:10,Werbung
44,0.2001973271145394,-459.73456,1062.0449,0.0369884334849086,-29.07214747694,330,182.22572315017896,0.0116327830398508,0.0454545454545454,1,02:10,Werbung
45,0.7937034711633331,892.9824,5664.2188,0.0622882778405102,-26.280791136424952,312,181.2792831810888,0.0536577732834929,0.0427715996578272,1,02:10,Werbung
46,0.2901224121396739,396.97205,1250.2869,0.0253913998840296,-22.029334187872752,143,185.6373878725835,0.0131776614275219,0.0925069380203515,1,02:10,Werbung
47,0.5887573964497042,-648.7723,1940.0461,0.0219122898037659,-31.9062670970195,349,177.40291983228417,0.0231714368315536,0.0903342366757,1,02:10,Werbung
48,0.534500738680803,202.12541,1011.37,0.0243232520523697,-31.67957620905388,300,173.39586596932233,0.0155727541150532,0.0888888888888888,1,02:10,Werbung
49,0.2668235294117647,-356.92746,471.6855,0.0231940672017578,-32.279567194911735,105,165.9353441432641,0.0116099283395458,0.0717875089734386,1,02:10,Werbung
51,0.7766434904168046,-454.02747,4507.2207,0.0404980620746482,-27.956679789032293,268,181.59915525654927,0.0539365886550198,0.0361141206211628,1,02:10,Werbung
52,0.6636584969972407,-114.737434,3157.544,0.0293893246253852,-27.85131516554527,202,183.86117646210624,0.0496709584760555,0.0523560209424083,1,02:10,Werbung
53,0.6764012738853503,-384.69702,3608.3098,0.0238654744102298,-30.636207880343285,261,176.8659503111626,0.0516697103545913,0.0491883915395966,1,02:10,Werbung
54,0.5887976101568334,-844.6606,1393.7013,0.0173039948728904,-32.444598561637015,286,173.44364950025854,0.0384468332966675,0.050251256281407,1,02:10,Werbung
55,0.7832789184214562,-5.1633606,5366.4917,0.0197759941404461,-35.23707244497585,292,168.123620395396,0.0565453123397325,0.0462748727440999,1,02:10,Werbung
56,0.2687085162988943,23.211735,37.711708,0.031556138798181,-34.077233505422114,368,168.8697842480854,0.0161833827775012,0.0163666121112929,1,02:10,Werbung
57,0.2046728713855671,-20.220709,111.44798,0.0343638416699728,-30.018322847675503,151,177.8451688376406,0.0134074545283831,0.0155738981467061,1,02:10,Werbung
58,0.5868666427831408,752.2671,3673.165,0.0233161412396618,-29.27796581252743,339,182.15421675264048,0.0645096325517026,0.0162390386489119,1,02:10,Werbung
59,0.6552144620918818,789.13416,2225.262,0.0249031037324137,-32.842321586526005,168,171.25708304954082,0.0618852065538076,0.0161056530842325,1,02:10,Werbung
60,0.9395381317396388,-234.85674,2021.0446,0.0235297708059938,-32.07493044775676,90,166.35657920458297,0.0606633425287994,0.0114757860913472,1,02:10,Werbung
61,0.7630622627796172,79.98357,1571.9568,0.0238044373912778,-32.56764606181484,41,161.7925137253722,0.0316727344449118,0.0446030330062444,1,02:10,Werbung
63,0.9913055872291904,-304.63544,2122.1895,0.0272835474715414,-27.4860118204192,85,171.61808951321063,0.0493657273656908,0.0554016620498614,1,02:10,Werbung
64,0.911964747581186,-1361.988,3542.469,0.0294198431348612,-31.281983246915622,225,171.23317123944062,0.0262029758087678,0.22271714922049,1,02:10,Werbung
65,0.919919141657596,222.06004,1512.4994,0.0265511032441175,-30.627192944777363,66,164.17171404349307,0.0522054567398263,0.1261034047919293,1,02:10,Werbung
66,0.8885087855698958,-1143.741,5427.6533,0.0570696127201147,-31.518348570461608,60,163.7113076225622,0.0579808573379174,0.0697350069735007,1,02:10,Werbung
67,0.852987644318412,257.4788,1640.1934,0.0278023621326334,-24.871901492104,57,170.48506381216086,0.060500683233866,0.2012072434607646,1,02:10,Werbung
68,0.7393853158793398,-602.5978,2771.9863,0.0256355479598376,-31.118366083374013,52,159.1943121787427,0.05378906950064,0.0615763546798029,1,02:10,Werbung
69,0.7122083096186682,-729.2345,2412.8806,0.0173039948728904,-30.21371051101396,196,174.43509203864434,0.0465943101209038,0.046816479400749,1,02:10,Werbung
70,0.5801225464741926,-123.26457,1509.4138,0.0357371745963927,-29.918099932208868,54,159.74414585459806,0.0442459314344461,0.0529380624669137,1,02:10,Werbung
71,0.5581879941769189,-124.91855,2043.278,0.0221869563890499,-28.93759572138672,92,168.68027264166898,0.0402209664267039,0.0424088210347752,1,02:10,Werbung
72,0.5408298526873921,147.20836,2374.4243,0.031647694326609,-33.07804540565322,324,160.76205541003165,0.041287820599948,0.0308356460067838,1,02:10,Werbung
73,0.6968063223990473,-113.949936,4808.133,0.021546067690054,-29.99315849505316,77,158.99119658436678,0.0531792421428705,0.0286697247706422,1,02:10,Werbung
74,0.8596730540218686,118.11511,5285.379,0.0275582140568254,-33.33263960179791,117,167.65586665723674,0.0612939807563008,0.0294031167303734,1,02:10,Werbung
75,0.7645372645372646,-56.656845,2269.8945,0.0225226599932859,-31.194978616563866,75,166.77840548263353,0.0664999643561116,0.077639751552795,1,02:11,Werbung
76,0.0575680144295806,205.08562,270.4175,0.0357676931058687,-32.947606386373145,85,163.2604761323832,0.047570673645101,0.1547987616099071,1,02:11,Werbung
77,0.3652631093483374,52.183014,2790.9658,0.0162968840601825,-28.93018138919254,103,171.79747768574074,0.0467085997441171,0.1308900523560209,1,02:11,Werbung
78,0.6336008588078929,680.3214,5761.0195,0.0200506607257301,-35.75790848226285,163,157.12214777045767,0.0463206371078043,0.083752093802345,1,02:11,Werbung
79,0.4736105032822757,1398.2422,3386.4692,0.0173650318918424,-33.957426231638365,172,164.40127040814252,0.0444265423597425,0.0434216239687364,1,02:11,Werbung
81,0.5518522203429178,90.7271,3430.6226,0.0184331797235023,-30.31742385831433,166,173.2429565490743,0.0329434154711023,0.04644681839294,1,02:11,Werbung
84,0.8957435809064277,390.96756,3794.5947,0.0117191076387829,-45.598164684683,87,128.05504978769167,0.0657533923114012,0.0219202104340201,1,02:11,Werbung
85,0.3954955707838877,267.68063,356.06012,0.0182195501571703,-39.353239515077526,87,143.01059355864535,0.0236578628836836,0.1058201058201058,1,02:11,Werbung
86,0.2031460069911266,-2.2763367,11.099579,0.0076601458784752,-34.7892470002466,19,138.4775612136778,0.0130251930594107,0.106951871657754,1,02:11,Werbung
87,0.1888500492964058,-5.1124268,17.217834,0.0093691824091311,-42.315259193213215,31,136.23245047098294,0.0124457487835218,0.1050420168067226,1,02:11,Werbung
88,0.1594968671093238,-2.2046204,12.720276,0.0071413312173833,-40.56596611329024,43,135.39985720701864,0.012292376154199,0.1042752867570385,1,02:11,Werbung
89,0.1710355914794802,-1.3852844,9.799683,0.0048829615161595,-42.92441647463113,69,135.5743496431474,0.0097442060077008,0.099502487562189,1,02:11,Werbung
90,0.1341044076273835,1.1699176,8.770382,0.0072939237647633,-46.22633396971548,116,134.98538937838478,0.0093632729471499,0.0999000999000999,1,02:11,Werbung
91,0.1538630763815558,-0.017578125,8.122345,0.0289315469832453,-42.74077560387123,51,133.18481445576472,0.0089728884222633,0.1001001001001001,1,02:11,Werbung
92,0.845168954593453,1007.0215,2495.1775,0.0248115482039857,-30.772566876072656,87,167.00572984631276,0.0626079480987259,0.0974658869395711,1,02:11,Werbung
93,0.7561261606202737,-664.0188,1794.0427,0.032105471968749,-32.10692271095262,212,169.4939848450659,0.0423269110603148,0.1234567901234567,1,02:11,Werbung
94,0.5302778162991726,-1526.2926,2094.2178,0.0423902096621601,-28.84169957509596,69,168.4579184429405,0.0300471472365375,0.0606796116504854,1,02:11,Werbung
95,0.3347432163823787,-944.7844,973.4641,0.0500503555406353,-27.45468870808167,105,179.17139571633524,0.0173590731289946,0.062111801242236,1,02:11,Werbung
96,0.2778613199665831,210.2887,1014.88525,0.0274666585283974,-26.01185666188002,165,185.16710805877207,0.015715806119599,0.060938452163315,1,02:11,Werbung
97,0.3582340940361531,928.9149,2252.8486,0.0340891750846888,-31.22388343404748,71,166.45277902701812,0.0195888905699504,0.058411214953271,1,02:11,Werbung
98,0.2633439294017175,-272.33704,665.1117,0.0437330240791039,-26.535787702839635,110,167.51501035307692,0.0146858769770541,0.0587544065804935,1,02:11,Werbung
99,0.2883278625217223,314.57068,482.4815,0.0412610248115482,-27.183809814887088,183,180.3903558095108,0.0169258636275497,0.0623830318153462,1,02:11,Werbung
100,0.4086213554740297,-738.01746,1329.4767,0.0498977629932554,-27.68919979072164,119,180.12147584009432,0.0230413286865977,0.0631313131313131,1,02:11,Werbung
101,0.2551446321102698,94.0582,215.22337,0.0945158238471633,-26.03837848290788,96,180.25607795436625,0.0200666209210501,0.0590667454223272,1,02:11,Werbung
102,0.3003334921391138,-354.52405,560.0906,0.0504470961638233,-20.48990951569824,46,187.17139908967656,0.0206028942562848,0.0554631170271769,1,02:11,Werbung
103,0.385659338257791,-359.26874,382.70047,0.0357371745963927,-25.94327655140503,139,185.30044973357064,0.0234627989636319,0.053821313240043,1,02:11,Werbung
104,0.3224354211285458,353.09308,478.09247,0.0341196935941648,-28.46836420777804,110,176.63062936425354,0.0207766051553003,0.0520562207183758,1,02:11,Werbung
105,0.278871519829071,74.55376,125.360016,0.0403454695272682,-29.33989755182589,138,174.9305203299293,0.0188937031157342,0.0538793103448275,1,02:11,Werbung
106,0.3469562136590042,853.63745,1608.5226,0.0484939115573595,-27.884104519841557,126,178.22127504705827,0.0189816419033328,0.0477099236641221,1,02:11,Werbung
107,0.3383906800325115,573.4494,1221.4578,0.0289925840021973,-26.286255678686388,101,180.72602666167177,0.018503920982786,0.0445434298440979,1,02:11,Werbung
108,0.3528884506789764,145.9483,332.87494,0.0399487289040803,-30.754261517057024,125,169.60892518237435,0.0222897334652581,0.0524383848977451,1,02:11,Werbung
109,0.3829047797109737,-302.01224,797.66455,0.0287484359263893,-27.969940691818863,107,176.03860126846615,0.0237602000178365,0.0472589792060491,1,02:11,Werbung
110,0.3045993445219189,-450.67712,887.2283,0.0328073976866969,-30.827715566976437,80,172.3574548405537,0.0206712030467088,0.050709939148073,1,02:11,Werbung
111,0.2980300413232175,294.03513,1005.2825,0.0435193945127719,-29.6805643378015,116,173.50125913421655,0.0190715351344768,0.0433839479392624,1,02:11,Werbung
112,0.3028473398092862,-148.81781,1416.4281,0.0250556962797936,-27.226343112517046,124,180.12766470682618,0.0199414981571868,0.0427899015832263,1,02:11,Werbung
113,0.2850400812916337,-354.08945,548.70746,0.043397320474868,-32.02187048044516,203,170.97089376039634,0.0184144920511871,0.0461254612546125,1,02:11,Werbung
114,0.2832114530632084,-203.20383,219.78061,0.031739249855037,-27.25074169495903,102,180.60115839686532,0.0193882880990541,0.0461680517082179,1,02:11,Werbung
115,0.2499613370744316,-243.85938,281.43918,0.0398571733756523,-29.96806683685837,156,176.47860259957926,0.0162976100955847,0.0458926112895823,1,02:11,Werbung
